name,region,pref,lat,lon,height,range_nm,desc,lens,visited
白州灯台,九州,福岡県,33.9875,130.6269,14,14.5,玄界灘の岩礁に立つ歴史ある石造灯台,不明,未訪問
伊王島灯台,九州,長崎県,32.7111,129.7719,11,15.5,長崎港の入口に位置する六角形の洋式灯台,不明,未訪問
大瀬埼灯台,九州,長崎県,32.6128,128.6014,16,22.0,五島列島最西端の断崖絶壁に立つ日本の灯台50選,不明,未訪問
水ノ子島灯台,九州,大分県,32.9331,132.1764,39,18.5,豊後水道の荒波の中に立つ石造りの名塔,不明,未訪問
鶴御埼灯台,九州,大分県,32.9292,132.0839,13,22.5,九州最東端の断崖上にそびえる灯台,不明,未訪問
都井岬灯台,九州,宮崎県,31.3683,131.3414,15,23.5,野生馬が生息する岬に立つ九州唯一の参観灯台,不明,未訪問
細島灯台,九州,宮崎県,32.4289,131.6669,11,18.5,日向市の日向灘を望む公園内にある灯台,不明,未訪問
佐多岬灯台,九州,鹿児島県,30.9944,130.6603,13,21.5,九州最南端の沖合島に立つ日本最古級の灯台,不明,未訪問
屋久島灯台,九州,鹿児島県,30.3889,128.2328,19,22.0,屋久島永田岬にそびえる明治期の洋式灯台,不明,未訪問
残波岬灯台,沖縄,沖縄県,26.4428,127.7142,31,18.0,高さ30mの断崖の上に立つ大型参観灯台,不明,未訪問
平安名埼灯台,沖縄,沖縄県,24.7292,125.4683,24,18.0,宮古島最東端の東平安名崎に立つ参観灯台,不明,未訪問
喜屋武岬灯台,沖縄,沖縄県,26.0825,127.6781,15,17.5,沖縄本島最南端近郊に立つ太平洋を望む灯台,不明,未訪問
平久保崎灯台,沖縄,沖縄県,24.6122,124.3181,13,14.5,石垣島最北端のエメラルドグリーンの海に映える灯台,不明,未訪問
フサキ灯台,沖縄,沖縄県,24.3644,124.1136,10,11.5,石垣島西部の夕日の名所に位置する小型灯台,不明,未訪問
鹿ノ川埼灯台,沖縄,沖縄県,24.2831,123.6881,13,12.0,西表島最南端の秘境に立つ灯台,不明,未訪問
伊良部島灯台,沖縄,沖縄県,24.8483,125.1467,12,13.0,下地島空港近くの美しい海を見下ろす灯台,不明,未訪問
与那国島灯台,沖縄,沖縄県,24.4489,123.0125,12,13.5,日本最西端の西崎（いりざき）に立つ灯台,不明,未訪問
はてるま島灯台,沖縄,沖縄県,24.0531,123.7783,11,11.0,有人島日本最南端の波照間島に立つ灯台,不明,未訪問
瀬戸埼灯台,近畿,和歌山県,33.6761,135.3375,13,16.5,白浜町の三段壁近くに立つ白亜の灯台,不明,未訪問
神子元島.../追加枠,中部,静岡県,34.575,138.9406,23,19.5,世界灯台100選,不明,未訪問
金沢港灯台,中部,石川県,36.6067,136.5986,17,14.0,金沢港の入口を見守るモダンなデザインの灯台,不明,未訪問
高知灯台,四国,高知県,33.5042,133.5683,12,14.0,桂浜近くの浦戸湾口に佇む灯台,不明,未訪問
日和佐灯台,四国,徳島県,33.7231,134.5519,12,15.0,ウミガメの産卵地として知られる大浜海岸近くの灯台,不明,未訪問
薩摩野間岬灯台,九州,鹿児島県,31.4217,130.1169,13,20.5,東シナ海を遠望する薩摩半島の灯台,不明,未訪問
知名埼灯台,沖縄,沖縄県,26.1667,127.8333,11,12.0,沖縄本島東部の知念半島先端近くに立つ灯台,不明,未訪問
新島灯台,関東,東京都,34.3653,139.2625,12,15.0,伊豆諸島・新島の高台から太平洋を見下ろす灯台,不明,未訪問
三宅島灯台,関東,東京都,34.0867,139.525,18,17.5,三宅島の伊豆岬に立つ白亜の灯台,不明,未訪問
